mal_id,episode,retention,title,segment,source,title_type
32455,1,0.9082,Gekidol: Actidol Project,Остальные,Original,Дебют
35252,1,0.9058,Hatena☆Illusion,Остальные,Light novel,Дебют
35335,1,0.8685,Musashino!,Остальные,Original,Дебют
36458,1,0.8746,Soukou Musume Senki,Остальные,Game,Дебют
37587,1,0.9178,Lapis Re:LiGHTs,Остальные,Mixed media,Дебют
37599,1,0.9169,Magatsu Wahrheit: Zuerst,Остальные,Game,Дебют
37890,1,0.9337,Oshi ga Budoukan Ittekuretara Shinu,Нишевые любимчики,Manga,Дебют
38005,1,0.9021,Strike Witches: Road to Berlin,Остальные,Original,Продолжение
38006,1,0.8923,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches,Остальные,Original,Дебют
38192,1,0.9208,Sakugan,Остальные,Novel,Дебют
38302,1,0.9145,Boku no Tonari ni Ankoku Hakaishin ga Imasu.,Остальные,Manga,Дебют
38337,1,0.9318,Gochuumon wa Usagi desu ka? Bloom,Нишевые любимчики,4-koma manga,Продолжение
38440,1,0.8686,Shikizakura,Остальные,Original,Дебют
38476,1,0.9654,Heya Camp△,Надёжный просмотр,Manga,Дебют
38555,1,0.9615,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,Флагманы,Light novel,Дебют
38668,1,0.956,Dorohedoro,Флагманы,Manga,Дебют
38790,1,0.9626,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,Флагманы,Light novel,Дебют
38830,1,0.9572,"Hachi-nan tte, Sore wa Nai deshou!",Надёжный просмотр,Light novel,Дебют
38835,1,0.9542,Umayon,Надёжный просмотр,4-koma manga,Дебют
38843,1,0.9267,Shironeko Project: Zero Chronicle,Надёжный просмотр,Game,Дебют
38853,1,0.8599,Ex-Arm,Остальные,Manga,Дебют
38924,1,0.9326,Nekopara,Остальные,Visual novel,Дебют
38992,1,0.9324,Rikei ga Koi ni Ochita no de Shoumei shitemita.,Остальные,Web manga,Дебют
39017,1,0.9396,Kyokou Suiri,Надёжный просмотр,Manga,Дебют
39184,1,0.914,A3! Season Spring & Summer,Нишевые любимчики,Game,Дебют
39247,1,0.9676,Kobayashi-san Chi no Maid Dragon S,Флагманы,Manga,Продолжение
39388,1,0.9331,Koisuru Asteroid,Остальные,4-koma manga,Дебют
39469,1,0.9128,Tsugu Tsugumomo,Остальные,Manga,Дебют
39531,1,0.9018,Kuutei Dragons,Остальные,Manga,Дебют
39534,1,0.9512,Jibaku Shounen Hanako-kun,Флагманы,Manga,Дебют
39547,1,0.9663,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,Флагманы,Light novel,Продолжение
39551,1,0.9771,Tensei shitara Slime Datta Ken 2nd Season,Флагманы,Manga,Продолжение
39575,1,0.9328,Somali to Mori no Kamisama,Остальные,Web manga,Дебют
39582,1,0.9181,Kitsutsuki Tanteidokoro,Остальные,Novel,Дебют
39583,1,0.9175,number24,Остальные,Original,Дебют
39609,1,0.9108,Ochikobore Fruit Tart,Остальные,4-koma manga,Дебют
39710,1,0.9462,Yesterday wo Utatte,Остальные,Manga,Дебют
39725,1,0.903,I★Chu: Halfway Through the Idol,Нишевые любимчики,Game,Дебют
39730,1,0.9343,Houkago Teibou Nisshi,Остальные,Manga,Дебют
39783,1,0.9761,5-toubun no Hanayome ∬,Флагманы,Manga,Продолжение
39790,1,0.9419,Adachi to Shimamura,Нишевые любимчики,Light novel,Дебют
39792,1,0.9392,Eizouken ni wa Te wo Dasu na!,Нишевые любимчики,Manga,Дебют
39808,1,0.945,Non Non Biyori Nonstop,Нишевые любимчики,Manga,Продолжение
39893,1,0.8962,Muteking the Dancing Hero,Остальные,Original,Дебют
39917,1,0.8178,Sabiiro no Armor: Reimei,Остальные,Mixed media,Дебют
39948,1,0.8875,Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,Остальные,Manga,Продолжение
39960,1,0.9483,Yatogame-chan Kansatsu Nikki Nisatsume,Надёжный просмотр,4-koma manga,Продолжение
39966,1,0.9128,Tamayomi,Остальные,Manga,Дебют
39988,1,0.9751,Isekai Quartet 2,Надёжный просмотр,Original,Продолжение
40010,1,0.9479,Ishuzoku Reviewers,Флагманы,Web manga,Дебют
40056,1,0.9468,Deca-Dence,Надёжный просмотр,Original,Дебют
40059,1,0.96,Golden Kamuy 3rd Season,Флагманы,Manga,Продолжение
40060,1,0.9623,BNA,Флагманы,Original,Дебют
40074,1,0.8944,Gibiate,Остальные,Original,Дебют
40075,1,0.9109,Koi to Producer: EVOLxLOVE,Остальные,Game,Дебют
40085,1,0.895,Maesetsu!,Остальные,Original,Дебют
40128,1,0.9443,Arte,Остальные,Manga,Дебют
40136,1,0.9244,Oda Cinnamon Nobunaga,Остальные,Manga,Дебют
40148,1,0.9255,22/7,Остальные,Other,Дебют
40165,1,0.9149,Listeners,Остальные,Original,Дебют
40174,1,0.9495,Zombieland Saga Revenge,Нишевые любимчики,Original,Продолжение
40230,1,0.9296,Housekishou Richard-shi no Nazo Kantei,Остальные,Novel,Дебют
40272,1,0.923,A3! Season Autumn & Winter,Нишевые любимчики,Game,Дебют
40357,1,0.9402,Tate no Yuusha no Nariagari Season 3,Нишевые любимчики,Light novel,Продолжение
40358,1,0.901,Gal to Kyouryuu,Остальные,Manga,Дебют
40359,1,0.9252,Ikebukuro West Gate Park,Остальные,Novel,Дебют
40392,1,0.9358,Runway de Waratte,Остальные,Manga,Дебют
40397,1,0.9446,Maoujou de Oyasumi,Флагманы,Manga,Дебют
40403,1,0.8612,Shin Sakura Taisen the Animation,Остальные,Game,Дебют
40436,1,0.9291,Peter Grill to Kenja no Jikan,Надёжный просмотр,Manga,Дебют
