mal_id,title,start_year,source,main_genre,episodes,members,started,audience_quartile,conversion_to_start,completion_rate,favorites_rate,ep3_retention,score_combined,segment,title_type
58985,0-saiji Start Dash Monogatari,2024,Manga,Adventure,12,12263,6660,Q1 малые,0.5426,0.2262,0.002,0.6425,0.1035,Остальные,Дебют
60425,0-saiji Start Dash Monogatari Season 2,2025,Manga,Adventure,12,4376,2257,Q1 малые,0.5142,0.3249,0.0023,0.7967,0.1493,Остальные,Продолжение
41380,100-man no Inochi no Ue ni Ore wa Tatteiru,2020,Manga,Action,12,324016,267488,Q4 крупные,0.8254,0.6478,0.0022,0.9,0.6379,Надёжный просмотр,Дебют
44881,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,2021,Manga,Action,12,182088,145395,Q3,0.7984,0.655,0.0035,0.9283,0.6991,Надёжный просмотр,Продолжение
54041,16bit Sensation: Another Layer,2023,Web manga,Comedy,13,60069,41695,Q2,0.694,0.4861,0.004,0.8535,0.5489,Остальные,Дебют
48858,180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,2021,Original,Slice of Life,12,39286,22020,Q2,0.5605,0.3465,0.0053,0.8058,0.3582,Остальные,Дебют
40679,2.43: Seiin Koukou Danshi Volley-bu,2021,Novel,Drama,12,118242,86221,Q3,0.7292,0.4136,0.0031,0.8333,0.4687,Остальные,Дебют
53802,2.5-jigen no Ririsa,2024,Manga,Comedy,24,145340,93555,Q3,0.6434,0.3127,0.0064,0.8022,0.4563,Нишевые любимчики,Дебют
40148,22/7,2020,Other,Drama,12,50257,30390,Q2,0.6047,0.4113,0.0044,0.8097,0.4133,Остальные,Дебют
55973,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,2024,Manga,Boys Love,12,84711,64122,Q3,0.7568,0.5761,0.0098,0.8717,0.8129,Флагманы,Дебют
51464,4-nin wa Sorezore Uso wo Tsuku,2022,Manga,Comedy,11,41604,27087,Q2,0.651,0.4419,0.0033,0.8171,0.4257,Остальные,Дебют
39783,5-toubun no Hanayome ∬,2021,Manga,Comedy,12,785038,664993,Q4 крупные,0.847,0.7525,0.0149,0.9589,0.9609,Флагманы,Продолжение
41457,86,2021,Light novel,Action,11,915727,688890,Q4 крупные,0.7522,0.6194,0.0275,0.9223,0.8698,Флагманы,Дебют
48569,86 Part 2,2021,Light novel,Action,12,602266,489573,Q4 крупные,0.8127,0.6847,0.0293,0.9471,0.9391,Флагманы,Продолжение
58957,9: Ruler's Crown,2025,Visual novel,Mystery,13,10529,4306,Q1 малые,0.4074,0.0657,0.0033,0.5573,0.1093,Остальные,Дебют
59730,"A-Rank Party wo Ridatsu shita Ore wa, Moto Oshiego-tachi to Meikyuu Shinbu wo Mezasu.",2025,Light novel,Action,24,95739,77493,Q3,0.8094,0.3687,0.0029,0.8664,0.4829,Остальные,Дебют
40272,A3! Season Autumn & Winter,2020,Game,Drama,12,24642,13193,Q1 малые,0.5354,0.4215,0.007,0.8856,0.4529,Нишевые любимчики,Дебют
39184,A3! Season Spring & Summer,2020,Game,Drama,12,38285,22674,Q2,0.5922,0.3856,0.0074,0.811,0.4759,Нишевые любимчики,Дебют
44040,Abciee Shuugyou Nikki,2021,Other,Comedy,12,3376,2764,Q1 малые,0.8185,0.5363,0.0015,0.8077,0.5546,Надёжный просмотр,Дебют
53723,Acro Trip,2024,Manga,Comedy,12,22992,14157,Q1 малые,0.6155,0.3736,0.0031,0.8176,0.3124,Остальные,Дебют
39790,Adachi to Shimamura,2020,Light novel,Girls Love,12,206185,128827,Q3,0.6248,0.4478,0.008,0.8595,0.5734,Нишевые любимчики,Дебют
49520,Aharen-san wa Hakarenai,2022,Manga,Comedy,12,380348,287347,Q4 крупные,0.7554,0.4948,0.0062,0.8628,0.7069,Флагманы,Дебют
59466,Aharen-san wa Hakarenai Season 2,2025,Manga,Comedy,12,78753,46504,Q2,0.5902,0.3893,0.0036,0.8482,0.3291,Остальные,Продолжение
53787,AI no Idenshi,2023,Manga,Drama,12,49181,30967,Q2,0.6295,0.3367,0.0024,0.7582,0.2561,Остальные,Дебют
42653,Aikatsu Planet!,2021,Game,Slice of Life,24,4580,2981,Q1 малые,0.6507,0.3187,0.0061,0.713,0.4617,Нишевые любимчики,Продолжение
48553,Akebi-chan no Sailor-fuku,2022,Web manga,Slice of Life,12,207047,131243,Q3,0.6339,0.4095,0.0058,0.8381,0.5068,Нишевые любимчики,Дебют
52193,Akiba Meido Sensou,2022,Original,Action,12,184631,124346,Q3,0.6734,0.4556,0.0066,0.8451,0.6182,Нишевые любимчики,Дебют
41433,Akudama Drive,2020,Original,Action,12,475107,329635,Q4 крупные,0.6937,0.5513,0.0084,0.9082,0.7309,Флагманы,Дебют
54837,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,2024,Light novel,Fantasy,12,192376,159618,Q3,0.8296,0.6935,0.0048,0.9356,0.8032,Надёжный просмотр,Дебют
49979,Akuyaku Reijou nanode Last Boss wo Kattemimashita,2022,Light novel,Comedy,12,207649,170650,Q4 крупные,0.8215,0.6211,0.0055,0.905,0.8053,Надёжный просмотр,Дебют
57719,Akuyaku Reijou Tensei Ojisan,2025,Manga,Comedy,12,89590,68809,Q3,0.7672,0.5307,0.0033,0.8726,0.5995,Надёжный просмотр,Дебют
50871,Alice Gear Aegis Expansion,2023,Game,Action,12,11595,6538,Q1 малые,0.5638,0.2585,0.0011,0.6491,0.1072,Остальные,Дебют
55071,Amagami-san Chi no Enmusubi,2024,Manga,Comedy,24,98416,65792,Q3,0.6678,0.3714,0.0058,0.8176,0.5174,Нишевые любимчики,Дебют
59619,Ame to Kimi to,2025,Manga,Slice of Life,12,44865,24366,Q2,0.5417,0.1942,0.004,0.712,0.2086,Остальные,Дебют
58600,Ameku Takao no Suiri Karte,2025,Novel,Mystery,12,90509,61808,Q3,0.6829,0.3854,0.0031,0.8071,0.4042,Остальные,Дебют
42238,Ani ni Tsukeru Kusuri wa Nai! 4,2020,Web manga,Comedy,12,32285,22517,Q2,0.6973,0.626,0.0012,0.9507,0.5023,Надёжный просмотр,Продолжение
42514,Anime Kapibara-san,2020,Other,Comedy,24,4660,3768,Q1 малые,0.8086,0.5324,0.0099,0.8813,0.8232,Флагманы,Дебют
60334,Anne Shirley,2025,Novel,Drama,24,46805,27311,Q2,0.5838,0.1189,0.005,0.7511,0.2743,Остальные,Дебют
49052,Ao Ashi,2022,Manga,Sports,24,245245,191990,Q4 крупные,0.7828,0.5989,0.0138,0.9241,0.8653,Флагманы,Дебют
53889,Ao no Exorcist: Shimane Illuminati-hen,2024,Manga,Action,12,173959,106691,Q3,0.6132,0.4246,0.0036,0.8322,0.3812,Остальные,Продолжение
59226,Ao no Exorcist: Yosuga-hen,2025,Manga,Action,12,74215,44633,Q2,0.6011,0.4774,0.0032,0.8979,0.3875,Остальные,Продолжение
58516,Ao no Exorcist: Yuki no Hate-hen,2024,Manga,Action,12,94993,53285,Q2,0.5609,0.4414,0.0024,0.8772,0.2764,Остальные,Продолжение
